playlist_genre,track_name,track_artist,track_popularity,analysis_url
pop,Die With A Smile,"Lady Gaga, Bruno Mars",100,https://api.spotify.com/v1/audio-analysis/2plbrEY59IikOBgBGLjaoe
pop,BIRDS OF A FEATHER,Billie Eilish,97,https://api.spotify.com/v1/audio-analysis/6dOtVTDdiauQNBQEDOtlAB
pop,That’s So True,Gracie Abrams,93,https://api.spotify.com/v1/audio-analysis/7ne4VBA60CxGM75vw0EYad
pop,Taste,Sabrina Carpenter,81,https://api.spotify.com/v1/audio-analysis/1d7Ptw3qYcfpdLNL5REhtJ
pop,APT.,"ROSÉ, Bruno Mars",98,https://api.spotify.com/v1/audio-analysis/5vNRhkKd0yEAg8suGBpjeY
pop,"Good Luck, Babe!",Chappell Roan,94,https://api.spotify.com/v1/audio-analysis/0WbMK4wrZ1wFSty9F7FCgu
pop,Diet Pepsi,Addison Rae,88,https://api.spotify.com/v1/audio-analysis/6MzofobZt2dm0Kf1hTThFz
pop,WILDFLOWER,Billie Eilish,93,https://api.spotify.com/v1/audio-analysis/3QaPy1KgI7nu9FJEQUgn6h
pop,Sailor Song,Gigi Perez,71,https://api.spotify.com/v1/audio-analysis/0UYnhUfnUj5adChuAXvLUB
pop,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",92,https://api.spotify.com/v1/audio-analysis/1Es7AUAhQvapIcoh3qMKDL
pop,Guess featuring billie eilish,"Charli xcx, Billie Eilish",85,https://api.spotify.com/v1/audio-analysis/3WOhcATHxK2SLNeP5W3v1v
pop,Please Please Please,Sabrina Carpenter,88,https://api.spotify.com/v1/audio-analysis/5N3hjp1WNayUPZrA8kJmJP
pop,2 hands,Tate McRae,79,https://api.spotify.com/v1/audio-analysis/1f18HzFpegqvH4ibGJyeMJ
pop,A Bar Song (Tipsy),Shaboozey,86,https://api.spotify.com/v1/audio-analysis/2FQrifJ1N335Ljm3TjTVVf
pop,HOT TO GO!,Chappell Roan,88,https://api.spotify.com/v1/audio-analysis/4xdBrk0nFZaP54vvZj0yx7
pop,Disease,Lady Gaga,86,https://api.spotify.com/v1/audio-analysis/19KlZwqlT3fguP2BeHF1Q1
pop,Moonlit Floor (Kiss Me),LISA,82,https://api.spotify.com/v1/audio-analysis/5G345YEhvleYxQLfYUlEFv
