tempo,playlist_genre,track_artist,track_id,track_name,track_popularity
157.969,pop,"Lady Gaga, Bruno Mars",2plbrEY59IikOBgBGLjaoe,Die With A Smile,100
104.978,pop,Billie Eilish,6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,97
108.548,pop,Gracie Abrams,7ne4VBA60CxGM75vw0EYad,That’s So True,93
112.966,pop,Sabrina Carpenter,1d7Ptw3qYcfpdLNL5REhtJ,Taste,81
149.027,pop,"ROSÉ, Bruno Mars",5vNRhkKd0yEAg8suGBpjeY,APT.,98
116.712,pop,Chappell Roan,0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",94
150.069,pop,Addison Rae,6MzofobZt2dm0Kf1hTThFz,Diet Pepsi,88
148.101,pop,Billie Eilish,3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,93
94.926,pop,Gigi Perez,0UYnhUfnUj5adChuAXvLUB,Sailor Song,71
119.973,pop,"The Weeknd, Playboi Carti",1Es7AUAhQvapIcoh3qMKDL,Timeless (with Playboi Carti),92
130.019,pop,"Charli xcx, Billie Eilish",3WOhcATHxK2SLNeP5W3v1v,Guess featuring billie eilish,85
107.071,pop,Sabrina Carpenter,5N3hjp1WNayUPZrA8kJmJP,Please Please Please,88
104.032,pop,Tate McRae,1f18HzFpegqvH4ibGJyeMJ,2 hands,79
81.012,pop,Shaboozey,2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),86
139.982,pop,Chappell Roan,4xdBrk0nFZaP54vvZj0yx7,HOT TO GO!,88
100.987,pop,Lady Gaga,19KlZwqlT3fguP2BeHF1Q1,Disease,86
109.939,pop,LISA,5G345YEhvleYxQLfYUlEFv,Moonlit Floor (Kiss Me),82
122.064,pop,Morgan Wallen,7hR22TOX3RorxJPcsz5Wbo,Love Somebody,86
115.94,pop,Gracie Abrams,51rfRCiUSvxXlCSCfIztBy,"I Love You, I'm Sorry",90
119.992,pop,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",1BJJbSX6muJVF2AK7uH1x4,Move,86
80.09,pop,"Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",3tFed7YsjGnIfxeLEQwx3R,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)",88
103.969,pop,Sabrina Carpenter,2qSkIjg1o9h3YT9RAgYN75,Espresso,90
116.988,pop,JENNIE,2CspwnypzT7rcWI9RfsoSb,Mantra,89
105.008,pop,"Rauw Alejandro, Bad Bunny",0l0vcZMU7AOeQmUIREoI2U,Qué Pasaría...,82
119.98,pop,Don Toliver,2c7z5oRcPBbqRaBY2mLWcf,NEW DROP,85
127.986,pop,"Post Malone, Morgan Wallen",7221xIgOnuakPdLqT0F3nP,I Had Some Help (Feat. Morgan Wallen),84
117.038,pop,Hozier,4IadxL6BUymXlh8RCJJu7T,Too Sweet,77
97.989,pop,The Marías,3siwsiaEoU4Kuuc9WKMUy5,No One Noticed,84
112.648,pop,"Oscar Maydon, Fuerza Regida",1cOboCuWYI2osTOfolMRS6,Tu Boda,93
123.994,pop,Myles Smith,3Vr3zh0r7ALn8VLqCiRR10,Stargazing,88
167.029,pop,"GloRilla, Sexyy Red",4VI2Y5xg4gYynQqNQNQbTN,WHATCHU KNO ABOUT ME (with Sexyy Red),70
115.842,pop,Ariana Grande,46kspZSY3aKmwQe7O77fCC,we can't be friends (wait for your love),81
105.029,pop,Benson Boone,6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,85
194.055,pop,"Myke Towers, benny blanco",0qeIFEGRQqHoaJtLCl0U73,DEGENERE 👑 (feat. benny blanco),84
167.033,pop,KATSEYE,6aJn7Cst74cj4lNIiPRgav,Touch,85
159.92,pop,Teddy Swims,17phhZDn6oGtzMe56NuWvj,Lose Control,89
90.969,pop,Mark Ambor,5uQ7de4EWjb3rkcFxyEOpu,Belong Together,82
128.027,pop,KAROL G,6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,93
159.982,pop,Djo,3qhlB30KknSejmIvZZLjOD,End of Beginning,89
192.004,pop,"Taylor Swift, Post Malone",2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),84
155.079,pop,"Omar Courtz, De La Rose",0Sr7ssScx54yxdM2ols7nW,Q U E V A S H A C E R H O Y ?,89
101.061,pop,Kendrick Lamar,6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,88
146.921,pop,Jin,4p7DTkyrKqT98xlIwYYfXz,Running Wild,85
91.98,pop,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",3mg9jYNC1NihbthlglzrWP,+57,84
114.933,pop,Ndotz,0io16MKpbeDIdYzmGpQaES,Embrace It,87
184.115,pop,Linkin Park,2PnlsTsOTLE5jnBnNe2K0A,The Emptiness Machine,89
116.034,pop,Jimin,7tI8dRuH2Yc6RuoTjxo4dU,Who,92
147.125,rock,Eagles,40riOy7x9W7GXjyGp4pjAv,Hotel California - 2013 Remaster,81
133.52,rock,AC/DC,57bgtoPSgt236HzfBOd8kj,Thunderstruck,83
123.596,rock,The White Stripes,3dPQuX8Gs42Y7b454ybpMR,Seven Nation Army,82
91.844,rock,Radiohead,70LcF31zb1H0PyJoS1Sx1r,Creep,86
120.125,rock,Nirvana,4P5KoWXOxwuobLmHXLMobV,Come As You Are,76
96.483,rock,Red Hot Chili Peppers,48UPSzbZjgc449aqz8bxox,Californication,81
125.304,rock,Guns N' Roses,7snQQk1zcKl8gZ92AnueZW,Sweet Child O' Mine,84
158.691,rock,The Rolling Stones,63T7DJ1AFDD6Bn8VzG6JE8,"Paint It, Black",81
120.151,rock,Fleetwood Mac,0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,84
158.066,rock,Foo Fighters,5UWwZ5lm5PKu6eKsHAGxOk,Everlong,81
94.379,rock,Joan Jett & the Blackhearts,2Cdvbe2G4hZsnhNMKyGrie,I Love Rock 'N Roll,77
93.503,rock,Kansas,6zeE5tKyr8Nu882DQhhSQI,Dust in the Wind,79
104.114,rock,Pink Floyd,4gMgiXfqyzZLMhsksGmbQV,"Another Brick in the Wall, Pt. 2",74
152.445,rock,Bon Jovi,0X1sqQ652p1sceKM2nJlIJ,Runaway,72
85.064,rock,Green Day,6L89mwZXSOwYl76YXfX13s,Basket Case,80
84.581,rock,Red Hot Chili Peppers,3d9DChrdc6BOeFsbrZ3Is0,Under the Bridge,82
147.193,rock,Billy Idol,1gzIbdFnGJ226LTl0Cn2SX,White Wedding - Pt. 1,70
127.361,rock,AC/DC,2SiXAy7TuUkycRVbbWDEpo,You Shook Me All Night Long,81
