tempo,genre,track_artist,track_id,track_name,track_popularity
48.2,electronic,Peter Sandberg,7qt641kuazHzMIn4lbkns5,Deep,37
49.3,hip-hop,"The Alchemist, Boldy James",5467KZaTToEB680WvOd9w5,Ocean Prime (feat. Boldy James),68
50.8,pop,Forest Blakk,727Z2S2mtNH46CbP9EWPwY,If You Love Her,72
52.2,electronic,Sailsetter,06MlFhCl7jYNOlHgmNsooS,Northern,35
52.9,folk,"Emmylou Harris, Alison Krauss, Gillian Welch",7ESCrKC98mNhYZY9AenRMQ,Didn't Leave Nobody But The Baby,50
53.8,electronic,Ward Dhoore,0e7clPAilf8eHxniTElPms,Song For O,11
55.0,lofi,sellar,79nz6puC2rx26h5JHH2sju,cocoon,55
56.2,electronic,Kyle Preston,3GJjSqfjywn95iuykliMFx,Where Nothing Is Forgotten,19
56.4,electronic,Lights & Motion,2No1A7ZuMaBGxz45jmA9Gw,Glaciers,33
56.5,classical,"Gabriel Fauré, Berliner Philharmoniker, Daniel Barenboim",3ynbqSi0Z7e3FdcZrhOnQC,"Pelléas et Mélisande Suite, Op. 80: III. Sicilienne. Allegretto molto moderato",43
56.5,lofi,A & C,1divZI9KtgP416oHCwBJE1,Ayways,49
57.0,ambient,"LADIPOE, Rozzz, Morrelo",6JNLAYsRE0JAES5arxN0nY,Hallelujah,38
57.4,electronic,"Sun Rain, Alaskan Tapes",0SbQl7LPw4qtwF9wf1sKKp,Sun,13
57.8,classical,"Taylor Scott Davis, VOCES8",3Ox9FXYffPUB44mqxXJrxs,Stardust,35
58.0,lofi,Slumbering Elk,2Qu8fz0Ae2tNvBefZoZIJF,Behind the stars,50
58.3,classical,"Pyotr Ilyich Tchaikovsky, André Previn, London Symphony Orchestra",2xizRhme7pYeITbH1NLLGt,"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato",68
59.4,jazz,Stanley Turrentine,7ysmJhXFQtiBQlk6EZ6sks,Journey Into Melody - 2007 Digital Remaster/Rudy Van Gelder Edition,52
60.0,lofi,ELEWAKA,2hug5L1Q26tKppSYubogeh,imstillfallingfor,50
60.4,wellness,Casiamty,09Y2QXKWb5cTg8GeHNK3L2,Aligne,47
60.7,jazz,Kenny Dorham,3GOZbK2epuHzCt5YvvVFHO,Alone Together - Rudy Van Gelder Remaster 2006,54
60.7,ambient,"Giggs, Lojay",0Zb004lei42rERugapZaSt,Hallelujah (feat. Lojay),33
60.8,ambient,"Blaqbonez, Projexx",2KbFskDFrgLGKBKIVDrzbh,6 BUSINESS DAYS (feat. Projexx),37
61.0,lofi,le gronk,3596EdDGZEzM9UPr9w2I0w,trail running,54
61.3,ambient,"Boj, ODUMODUBLVCK",3mxm7OJDadZK1HYN9ZP8gf,No Option,41
62.0,ambient,Rosa Rogers,5j0mqk4wJI0HClQOAFWqsE,Chimenarius,45
62.2,classical,NINJA TRACKS,68KlqwpbXI56VHY3jAN06q,The Machination (ROGUE MIX),31
62.6,ambient,"ODUMODUBLVCK, Zlatan, ECko Miles",32R7SBDSQmhDM4qUgzTc6z,PICANTO,44
62.7,ambient,Cthulhu Ramón,0CSMEI3zYa4Jued0MkyNcz,Evolving,43
62.9,classical,Hans Zimmer,6ZFbXIJkuI1dVNWvzJzown,Time,71
62.9,lofi,astra division,5UkHAPnb2Vyx0DvOmnBklI,Up In The Clouds Again,51
62.9,lofi,Breakfast For Brunch,72VPz6obgR5JjPCv8uRotp,Avocades,48
63.0,wellness,Ozo Nakuru,2epHEGzdynPsNt6AXiBnC7,Faithful,47
63.4,jazz,Dave Brubeck,1GZD0TZJHmdQaZsucHBmWT,Besame Mucho,49
63.9,hip-hop,Rod Wave,0U60hgxzGit7juEuHul2y3,25,76
64.2,ambient,Petros Idris,3tf0epgGh6Zbh2skKajYjw,Simien,52
64.7,arabic,"Hossam Ramzy, Phil Thornton",2T0nxWW0gWaoU9tYB0gtQ6,"Egypt Unveiled, Pt. I",35
64.8,electronic,"Patrik Berg Almkvisth, LUCHS, Hollie Kenniff",27yz3nbxcssedZNf0u3S6p,Solskur - Rework,14
64.9,soul,Lucky Daye,3rgPcA3yCtvVCxvcVFcBxs,That's You,54
65.0,electronic,Across The Great Valley,5MX8N1rZMnP3K8mYpGP256,Aria,22
65.0,brazilian,"Rand0m, GV Cunha, DJ Guilherme",1qhy4UpbDRKBwO4Y9tTixv,Não é Uma Beleza,45
65.0,lofi,May-Flowa,23qAxDhazTIB0AvnmPKaFS,poolside,48
65.0,blues,"Justin Bieber, Ludacris",6epn3r7S14KUqlReYr77hA,Baby,81
65.1,classical,"Morten Lauridsen, Chamber Choir Of Europe, Nicol Matt",0S0YKiEdR9cT9pYgEaTevF,O Magnum Mysterium: O magnum mysterium,49
65.1,electronic,Antonio Ministeri,40aEtSuHuWv8lTHcsgF7pD,In Bloom,12
65.2,r&b,Brent Faiyaz,2J6OF7CkpdQGSfm1wdclqn,Clouded,78
65.5,ambient,Burna Boy,7KEPDWPWa4wfsP0Ee7JlIr,Dey Play,47
65.7,ambient,Calil,3NnOISTgydjYvBvV49JVXx,Subdued,27
65.9,classical,MrNotYet,3dCN2xyenuKehKD6ePQ60Q,Distorted Reflection,48
66.0,ambient,Shallipopi,3LoOprAVtyNADJUb8xmqzQ,Dey,41
66.1,lofi,caens,0U2JPr1TKAHPWu5C1xfUz0,Walking Home,42
66.5,ambient,"NSG, Seyi Vibez",4q66cTrveS3OCh2cIeOKRS,AREA BOYZ PRAYER (feat. Seyi Vibez),40
66.7,arabic,Shallipopi,3sil7Oby0Ig9BeY70nKmZv,Never Ever,51
66.7,ambient,Parting Clouds,6lk7e0kzmHfMt1cIciJ2D6,Gentle Insight,44
66.8,electronic,Christopher Galovan,3EzLqzSVxa4Bf1FI7UiCdJ,Resonance,37
66.8,gaming,Jeremy Soule,2gaZJDgE71VL9PzzUUlpMg,Dragonborn,57
66.8,wellness,Heal Divisions,76o7AbUu5f5sM06b4g18OP,Beyond Sleep,49
66.8,gaming,"Jeremy Soule, Daniil Trifonov",4xEbrGC6A3Bw7hCw3yuwJz,"Secunda (Transcr. Trifonov for Piano) - From ""The Elder Scrolls: Skyrim""",52
